API,Endpoint,ðŸ‘»
Terroristas procurados pela INTERPOL,https://cspinheiro.github.io/interpol.json,
BRA,https://cspinheiro.github.io/bra2.json,
FRA,https://henricobela.github.io/fra.json,
AGO,https://the-icaro.github.io/ago.json,
ITA,https://isabellitankian.github.io/ita.json,
AUS,https://cesarnorena.github.io/aus.json,
IND,https://eduardomatoss.github.io/ind.json,
MNG,https://emgabrielly.github.io/mng.json,
CAN,https://educunhamxk.github.io/CAN.json,
GRC,https://dalcol99.github.io/grc.json,
HUN,https://guhdalla.github.io/hun.json,
ARG,https://kndhvh.github.io/arg.json,
IRL,https://victorswory.github.io/irl.json,
NPL,rodrigofer89.github.io/npl.json,
IRQ,https://felps2003.github.io/irq.json,
BEL,https://rafael-pereira-silva.github.io/bel.json,
NIC,https://rafael-pereira-silva.github.io/bel.json,
PRT,https://0verthrive.github.io/prt.json,
MDV,https://jluizgomes.github.io/mdv.json,
COL,https://caiogoes.github.io/col.json,
HND,https://ricardoaugu.github.io/excel-to-json.json,